Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
543,543,Fahrenheit 9/11,Lions,222.4,119.2,103.3,2004,"June 23, 2004",Documentary, 1 hrs. 56 min.,PG,,14262961,,,,,7.5
544,544,Jumper,Fox,222.2,80.2,142.1,2008,"February 14, 2008",Fantasy, 1 hrs. 30 min.,R,6 ,23920637,,,,,6.1
545,545,Wild Wild West,WB,222.1,113.8,108.3,1999,"June 30, 1999",Western Comedy, 1 hrs. 47 min.,PG-13,85 ,27354808,148 days / 21.1 weeks,Doug Liman,Hayden ChristensenJamie BellRachel BilsonSamuel L. JacksonMax Thieriot*AnnaSophia Robb*Diane Lane*Kristen Stewart*,3430,4.8
546,546,Presumed Innocent,WB,221.3,86.3,135.0,1990,"July 27, 1990",Thriller, 2 hrs. 7 min.,PG-13,170 ,27687484,Barry Sonnenfeld,Will SmithKevin KlineKenneth BranaghSalma Hayek,Michael Ballhaus,3342,6.9
547,547,Scary Movie 3,Dim.,220.7,110,110.7,2003,"October 24, 2003",Horror Comedy, 1 hrs. 30 min.,R,,11718981,,,,,5.4
548,548,Elf,NL,220.4,173.4,47.0,2003,"November 7, 2003",Comedy, 1 hrs. 35 min.,PG-13,48 ,48113770,119 days / 17 weeks,David Zucker,Kevin HartAnna FarisRegina HallCharlie SheenSimon RexAnthony AndersonLeslie NielsenEddie Griffin* (Cameo)Queen Latifah* (Cameo)Denise Richards* (Cameo),3505,6.9
549,549,Green Lantern,WB,219.9,116.6,103.3,2011,"June 17, 2011",Action / Adventure, 1 hrs. 45 min.,PG,33 ,31113501,119 days / 17 weeks,Jon Favreau,Shauna Robertson,3381,5.6
550,550,The Terminal,DW,219.4,77.9,141.5,2004,"June 18, 2004",Comedy / Drama, 2 hrs. 8 min.,PG-13,200 ,53174303,105 days / 15 weeks,Martin Campbell,Ryan ReynoldsBlake LivelyPeter SarsgaardMark StrongAngela BassettTim RobbinsMichael Clarke Duncan* (Voice),3816,7.3
551,551,What Happens in Vegas,Fox,219.4,80.3,139.1,2008,"May 9, 2008",Comedy, 1 hrs. 39 min.,PG-13,60 ,19053199,Steven Spielberg,Sacha GervasiJeff NathansonAndrew Niccol*,Jason Hoffs (executive)Steven SpielbergPatricia Whitcher (executive),2914,6.1
552,552,It's Complicated,Uni.,219.1,112.7,106.4,2009,"December 25, 2009",Romantic Comedy, 1 hrs. 58 min.,PG-13,35 ,20172474,133 days / 19 weeks,Tom Vaughan,Cameron DiazAshton KutcherRob CorddryLake BellJason SudeikisTreat WilliamsDennis FarinaZach GalifianakisQueen Latifah,3255,6.6
553,553,Knocked Up,Uni.,219.1,148.8,70.3,2007,"June 1, 2007",Romantic Comedy, 2 hrs. 9 min.,R,85 ,22100820,98 days / 14 weeks,Nancy Meyers,Meryl StreepSteve MartinAlec BaldwinLake BellJohn KrasinskiZoe Kazan,2955,7.0
554,554,Captain Phillips,Sony,218.8,107.1,111.7,2013,"October 11, 2013",Drama, 2 hrs. 14 min.,R,30 ,30690990,,,,,7.9
555,555,The Prince of Egypt,DW,218.6,101.4,117.2,1998,"December 18, 1998",Animation, 1 hrs. 39 min.,PG-13,55 ,25718314,143 days / 20.4 weeks,Paul Greengrass,Tom HanksCatherine KeenerBarkhad Abdi,3143,7.0
556,556,Jack Reacher,Par.,218.3,80.1,138.3,2012,"December 21, 2012",Crime Drama, 2 hrs. 10 min.,PG,70 ,14524321,,,,,7.0
557,557,Collateral,DW,217.8,101,116.8,2004,"August 6, 2004",Crime, 2 hrs. 5 min.,PG-13,60 ,15210156,91 days / 13 weeks,Christopher McQuarrie,Tom CruiseRosamund PikeRichard JenkinsDavid OyelowoWerner HerzogJai CourtneyRobert Duvall,3352,7.6
558,558,Dracula Untold,Uni.,217.1,56.3,160.8,2014,"October 10, 2014",Action Horror, 1 hrs. 32 min.,R,65 ,24701458,98 days / 14 weeks,Michael Mann,Tom CruiseJamie FoxxJada Pinkett-SmithMark RuffaloPeter BergBruce McGillJavier Bardem*Jason Statham*,3205,6.3
559,559,Million Dollar Baby,WB,216.8,100.5,116.3,2004,"December 15, 2004",Sports Drama, 2 hrs. 17 min.,PG-13,70 ,23514615,Gary Shore,Matt SazamaBurk Sharpless,Michael De LucaJon Jashni (executive)Thomas Tull (executive),2900,8.1
560,560,Ted 2,Uni.,216.7,81.5,135.2,2015,"June 26, 2015",Comedy, 1 hrs. 55 min.,PG-13,30 ,"December 15 2004 (limited)
 January 28 2005 (wide)",,,,,6.4
561,561,The Help,BV,216.6,169.7,46.9,2011,"August 10, 2011",Drama, 2 hrs. 17 min.,R,68 ,33507870,Seth MacFarlane,Seth MacFarlaneAlec SulkinWellesley Wild,Jason ClarkJohn JacobsSeth MacFarlaneScott Stuber,3448,8.1
562,562,Twins,Uni.,216.6,111.9,104.7,1988,"December 9, 1988",Comedy, 1 hrs. 45 min.,PG-13,25 ,216639112,,,,,6.0
563,563,Valentine's Day,WB (NL),216.5,110.5,106.0,2010,"February 12, 2010",Romantic Comedy, 1 hrs. 57 min.,PG,15 ,11174980,Danny DeVitoArnold Schwarzenegger,Joe Medjuck (executive)Ivan Reitman,Randy Edelman,1659,5.8
564,564,Bad Teacher,Sony,216.2,100.3,115.9,2011,"June 24, 2011",Comedy, 1 hrs. 29 min.,PG-13,52 ,56260707,84 days / 12 weeks,Garry Marshall,Jessica AlbaKathy BatesJessica BielBradley CooperJamie FoxxJennifer GarnerTopher GraceAnne HathawayAshton KutcherQueen LatifahTaylor LautnerShirley MacLaineJulia RobertsEmma Roberts,3665,5.7
565,565,Clear and Present Danger,Par.,215.9,122.2,93.7,1994,"August 5, 1994",Action Thriller, 2 hrs. 21 min.,R,20 ,31603106,,,,,6.9
566,566,101 Dalmatians,Dis.,215.9,144.9,71.0,1961^,"January 25, 1961",Animation, 1 hrs. 19 min.,PG-13,62 ,20348017,,,,,7.2
567,567,Bram Stoker's Dracula,Col.,215.9,82.5,133.3,1992,"November 13, 1992",Period Horror, 2 hrs. 7 min.,G,,,,,,,7.5
568,568,Vertical Limit,Sony,215.7,69.2,146.4,2000,"December 18, 2015",Family Comedy, 1 hrs. 26 min.,R,40 ,30521679,,,,,5.9
569,569,Alvin and the Chipmunks: The Road Chip,Fox,215.6,84.6,131.0,2015,"December 8, 2000",Action, 2 hrs. 4 min.,PG-13,75 ,15507845,,,,,4.2
570,570,Ghostbusters II,Col.,215.4,112.5,102.9,1989,"June 16, 1989",Horror Comedy, 1 hrs. 42 min.,PG,,29472894,Harold Ramis,Bill MurraySigourney Weaver,Michael Chapman,2410,6.5
571,571,The Patriot,Sony,215.3,113.3,102.0,2000,"June 28, 2000",War, 2 hrs. 44 min.,R,110 ,22413710,Roland Emmerich,Mel GibsonHeath LedgerChris CooperLogan Lerman*,John Williams,3061,7.1
572,572,The Sorcerer's Apprentice,BV,215.3,63.2,152.1,2010,"July 14, 2010",Fantasy, 1 hrs. 51 min.,PG,150 ,17619622,107 days / 15.3 weeks,Jon Turteltaub,Nicolas CageJay BaruchelAlfred MolinaTeresa PalmerMonica Bellucci,3504,6.1
573,573,Just Go With It,Sony,214.9,103,111.9,2011,"February 11, 2011",Romantic Comedy, 1 hrs. 50 min.,PG-13,80 ,30514732,98 days / 14 weeks,Dennis Dugan,Keegan-Michael KeyAdam SandlerJennifer AnistonNicole KidmanBrooklyn DeckerNick SwardsonAllen Covert*Rachel Dratch*Minka Kelly*,3548,6.4
574,574,Public Enemies,Uni.,214.1,97.1,117.0,2009,"July 1, 2009",Crime Drama, 2 hrs. 23 min.,R,100 ,25271675,65 days / 9.3 weeks,Michael Mann,Johnny DeppChristian BaleMarion CotillardGiovanni RibisiBilly CrudupStephen DorffRory CochraneJohnny LangDavid WenhamChanning TatumCarey Mulligan*Emilie de Ravin*,3336,7.0
575,575,The Bourne Identity,Uni.,214.0,121.7,92.4,2002,"June 14, 2002",Action Thriller, 1 hrs. 58 min.,PG-13,60 ,27118640,Doug Liman,Tony GilroyWilliam Blake Herron,Patrick CrowleyDoug LimanFrank Marshall (executive),2663,7.9
576,576,Disclosure,WB,214.0,83,131.0,1994,"December 9, 1994",Drama / Thriller, 2 hrs. 9 min.,R,55 ,10068126,,,,,6.0
577,577,Dirty Dancing,Vest,214.0,64,150.0,1987^,"August 21, 1987",Romance, 1 hrs. 45 min.,PG-13,6 ,,,,,,6.9
578,578,Pulp Fiction,Mira.,213.9,107.9,106.0,1994,"October 14, 1994",Crime, 2 hrs. 34 min.,R,8 ,213928762,,,,,8.9
579,579,The Aviator,Mira.,213.7,102.6,111.1,2004,"December 17, 2004",Period Drama, 2 hrs. 48 min.,PG-13,110 ,"December 17 2004 (limited)
 December 25 2004 (wide)",,,,,7.5
580,580,Crouching Tiger Hidden Dragon,SPC,213.5,128.1,85.4,2000,"December 8, 2000",Foreign / Action, 2 hrs. 0 min.,PG-13,17 ,"December 8 2000 (limited)
 January 12 2001 (wide)",,,,,7.9
581,581,Into the Woods,BV,213.1,128,85.1,2014,"December 25, 2014",Musical, 2 hrs. 4 min.,PG,50 ,31051923,113 days / 16.1 weeks,Rob Marshall,Meryl StreepEmily BluntAnna KendrickChris PineJohnny DeppJames Corden,2833,6.0
582,582,Bedtime Stories,BV,212.9,110.1,102.8,2008,"December 25, 2008",Family Adventure, 1 hrs. 35 min.,PG,80 ,27450296,78 days / 11.1 weeks,Adam Shankman,Adam SandlerKeri RussellGuy PearceRussell BrandRichard GriffithsTeresa PalmerCourteney CoxNick Swardson*Allen Covert*,3684,6.1
583,583,Miss Congeniality,WB,212.7,106.8,105.9,2000,"December 22, 2000",Action Comedy, 1 hrs. 49 min.,PG-13,45 ,10046534,,,,,6.1
584,584,Entrapment,Fox,212.4,87.7,124.7,1999,"April 30, 1999",Romantic Thriller, 1 hrs. 53 min.,PG-13,66 ,20145595,,,,,6.2
585,585,Ace Ventura: When Nature Calls,WB,212.4,108.4,104.0,1995,"November 10, 1995",Comedy, 1 hrs. 34 min.,PG-13,,37804076,,,,,6.3
586,586,Master and Commander: The Far Side of the World,Fox,212.0,93.9,118.1,2003,"November 14, 2003",War, 2 hrs. 18 min.,PG-13,150 ,25105990,182 days / 26 weeks,Peter Weir,Russell CrowePaul Bettany,3101,7.4
587,587,End of Days,Uni.,212.0,66.9,145.1,1999,"November 24, 1999",Action Horror, 2 hrs. 1 min.,R,100 ,20523595,,,,,5.7
588,588,Battle: Los Angeles,Sony,211.8,83.6,128.3,2011,"March 11, 2011",Sci-Fi Action, 1 hrs. 56 min.,PG-13,70 ,35573187,Jonathan Liebesman,Christopher Bertolini,Jeffrey ChernovNeal H. Moritz,3417,5.8
589,589,Fury (2014),Sony,211.8,85.8,126.0,2014,"October 17, 2014",War, 2 hrs. 14 min.,R,68 ,23702421,95 days / 13.6 weeks,David Ayer,Brad PittLogan LermanShia LaBeoufMichael PenaJon BernthalJason Isaacs,3313,
590,590,Due Date,WB,211.8,100.5,111.2,2010,"November 5, 2010",Comedy, 1 hrs. 35 min.,R,65 ,32689406,84 days / 12 weeks,Todd Phillips,Keegan-Michael Key (Voice)Robert Downey Jr.Zach GalifianakisMichelle MonaghanJamie FoxxJuliette LewisDanny McBride*RZA*Charlie Sheen*,3365,6.6
591,591,Kingdom of Heaven,Fox,211.7,47.4,164.3,2005,"May 6, 2005",Historical Epic, 2 hrs. 25 min.,R,130 ,19635996,119 days / 17 weeks,Ridley Scott,Orlando BloomEva GreenJeremy IronsLiam NeesonMichael SheenBrendan GleesonEdward Norton*,3219,7.2
592,592,The Little Mermaid,BV,211.3,111.5,99.8,1989^,"November 17, 1989",Animation, 1 hrs. 23 min.,G,,6031914,,,,,7.6
593,593,Australia,Fox,211.3,49.6,161.8,2008,"November 26, 2008",Period Adventure, 2 hrs. 45 min.,PG-13,130 ,14800723,121 days / 17.3 weeks,Baz Luhrmann,Nicole KidmanHugh JackmanDavid WenhamJack ThompsonBryan Brown,2721,6.6
594,594,District 9,TriS,210.8,115.6,95.2,2009,"August 14, 2009",Sci-Fi, 1 hrs. 53 min.,R,30 ,37354308,84 days / 12 weeks,Neill Blomkamp,Sharlto Copley,3180,8.0
595,595,Braveheart,Par.,210.4,75.6,134.8,1995,"May 24, 1995",Historical Epic, 2 hrs. 57 min.,R,72 ,9938276,387 days / 55.3 weeks,Mel Gibson,Mel GibsonBrendan GleesonBrian Cox*,2037,8.4
596,596,Moonraker,MGM,210.3,70.3,140.0,1979,"June 29, 1979",Action, 2 hrs. 6 min.,PG,,,,,,,6.3
597,597,The Others,Mira.,209.9,96.5,113.4,2001,"August 10, 2001",Period Horror, 1 hrs. 41 min.,PG-13,17 ,14089952,,,,,7.6
598,598,Horrible Bosses,WB (NL),209.6,117.5,92.1,2011,"July 8, 2011",Comedy, 1 hrs. 40 min.,R,35 ,28302165,112 days / 16 weeks,Seth Gordon,Jason BatemanCharlie DayJason SudeikisJennifer AnistonColin FarrellJamie FoxxKevin SpaceyDonald Sutherland*Julie Bowen*,3134,6.9
599,599,Red Dragon,Uni.,209.2,93.1,116.0,2002,"October 4, 2002",Thriller, 2 hrs. 6 min.,R,78 ,36540945,Brett Ratner,Anthony HopkinsEdward NortonRalph FiennesHarvey KeitelEmily WatsonMary-Louise ParkerPhilip Seymour Hoffman,Danny Elfman,3363,7.2
600,600,Lemony Snicket's A Series of Unfortunate Events,Par.,209.1,118.6,90.4,2004,"December 17, 2004",Family Adventure, 1 hrs. 53 min.,PG,140 ,30061756,133 days / 19 weeks,Brad Silberling,Jim CarreyMeryl StreepEmily BrowningJude LawJamie Harris*Cedric the Entertainer*,3623,6.8
601,601,Tomorrowland,BV,209.0,93.4,115.6,2015,"May 22, 2015",Sci-Fi, 2 hrs. 10 min.,PG,190 ,33028165,119 days / 17 weeks,Brad Bird,Keegan-Michael KeyBritt RobertsonGeorge ClooneyHugh LaurieKathryn Hahn*Judy Greer*,3972,6.5
602,602,Safe House,Uni.,208.1,126.4,81.7,2012,"February 10, 2012",Action Thriller, 1 hrs. 57 min.,R,85 ,40172720,Daniel Espinosa,David Guggenheim,Scott Aversano (executive)Marc D. Evans (executive)Trevor Macy (executive)Scott Stuber,3121,6.8
603,603,S.W.A.T.,Sony,207.7,116.9,90.8,2003,"August 8, 2003",Action Thriller, 1 hrs. 51 min.,PG-13,80 ,37062535,119 days / 17 weeks,Clark Johnson,Colin FarrellSamuel L. JacksonMichelle RodriguezLL Cool JJeremy RennerOlivier MartinezColin Egglesfield*,3220,6.0
604,604,Traffic,USA,207.5,124.1,83.4,2000,"December 27, 2000",Crime Drama, 2 hrs. 27 min.,R,,"December 27 2000 (limited)
 January 5 2001 (wide)",,,,,7.6
605,605,The Fast and the Furious,Uni.,207.3,144.5,62.8,2001,"June 22, 2001",Action, 1 hrs. 46 min.,PG-13,38 ,40089015,Rob Cohen,David Ayer,Neal H. MoritzJohn Pogue,2899,6.7
606,606,Paranormal Activity 3,Par.,207.0,104,103.0,2011,"October 21, 2011",Horror, 1 hrs. 21 min.,R,5 ,52568183,77 days / 11 weeks,Henry JoostAriel Schulman,Dustin Ingram,3329,5.8
607,607,Philadelphia,TriS,206.7,77.4,129.2,1993,"December 24, 1993",Drama, 2 hrs. 5 min.,PG-13,26 ,"December 24 1993 (limited)
 January 14 1994 (wide)",,,,,7.7
608,608,The Expendables 3,LGF,206.2,39.3,166.9,2014,"August 15, 2014",Action, 1 hrs. 43 min.,PG-13,,15879645,63 days / 9 weeks,Patrick Hughes,Sylvester StalloneJason StathamAntonio BanderasJet LiWesley SnipesDolph LundgrenKelsey GrammerRandy CoutureTerry CrewsKellan LutzRonda RouseyRobert DaviMel GibsonHarrison FordArnold Schwarzenegger,3221,6.1
609,609,Sleepy Hollow,Par.,206.1,101.1,105.0,1999,"November 19, 1999",Period Horror, 1 hrs. 45 min.,R,100 ,30060467,Andrew Kevin Walker,Johnny DeppChristina RicciMiranda RichardsonMichael GambonChristopher Walken*,Danny Elfman,3069,7.4
610,610,The Jungle Book,Dis.,205.8,141.8,64.0,1967^,"October 18, 1967",Animation, 1 hrs. 18 min.,G,,,,,,,7.6
611,611,JFK,WB,205.4,70.4,135.0,1991,"December 20, 1991",Drama / Thriller, 3 hrs. 26 min.,R,,5223658,Oliver Stone,Kevin CostnerTommy Lee JonesGary OldmanKevin Bacon,John Williams,1395,8.0
612,612,White House Down,Sony,205.4,73.1,132.3,2013,"June 28, 2013",Action Drama, 2 hrs. 17 min.,PG-13,150 ,24852258,80 days / 11.4 weeks,Roland Emmerich,Channing TatumJamie FoxxMaggie GyllenhaalJames WoodsRichard JenkinsJoey KingJason Clarke,3222,6.4
613,613,The Ugly Truth,Sony,205.3,88.9,116.4,2009,"July 24, 2009",Romantic Comedy, 1 hrs. 36 min.,R,38 ,27605576,77 days / 11 weeks,Robert Luketic,Katherine HeiglGerard ButlerCheryl Hines,2975,6.5
614,614,The Holiday,Sony,205.1,63.2,141.9,2006,"December 8, 2006",Romantic Comedy, 2 hrs. 16 min.,PG-13,85 ,12778913,56 days / 8 weeks,Nancy Meyers,Cameron DiazKate WinsletJude LawJack BlackRufus SewellEdward BurnsJohn KrasinskiShannyn Sossamon*,2698,6.9
615,615,The Break-Up,Uni.,205.0,118.7,86.3,2006,"June 2, 2006",Romantic Comedy, 1 hrs. 46 min.,PG-13,52 ,39172785,98 days / 14 weeks,Peyton Reed,Vince VaughnJennifer AnistonJason BatemanJon FavreauJustin Long,3146,5.8
616,616,Eat Pray Love,Sony,204.6,80.6,124.0,2010,"August 13, 2010",Drama, 2 hrs. 13 min.,PG-13,60 ,23104523,84 days / 12 weeks,Ryan Murphy,Julia RobertsJavier BardemJames FrancoBilly CrudupRichard JenkinsViola Davis,3108,5.7
617,617,King Arthur,BV,203.6,51.9,151.7,2004,"July 7, 2004",Period Adventure, 2 hrs. 10 min.,PG-13,120 ,15193907,100 days / 14.3 weeks,Antoine Fuqua,Clive OwenKeira KnightleyIoan GruffuddStellan SkarsgardJoel EdgertonRay StevensonMads MikkelsenHugh DancyStephen DillaneTil Schweiger,3086,6.3
618,618,Everest (2015),Uni.,203.4,43.5,159.9,2015,"September 18, 2015",Thriller, 2 hrs. 1 min.,PG-13,55 ,203427584,,,,,
619,619,Vanilla Sky,Par.,203.4,100.6,102.8,2001,"December 14, 2001",Thriller, 2 hrs. 15 min.,R,68 ,25015518,Cameron Crowe,Tom CruiseCameron DiazPenelope CruzKurt RussellTilda Swinton,John Toll,2842,6.9
620,620,Need for Speed,BV,203.3,43.6,159.7,2014,"March 14, 2014",Action, 2 hrs. 10 min.,PG-13,66 ,17844939,98 days / 14 weeks,Scott Waugh,Aaron PaulImogen PootsDominic CooperScott MescudiMichael KeatonDakota Johnson,3115,6.5
621,621,Hairspray (2007),NL,202.5,118.9,83.7,2007,"July 20, 2007",Musical, 1 hrs. 47 min.,PG,,27476745,98 days / 14 weeks,Adam Shankman,Nikki BlonskyJohn TravoltaMichelle PfeifferChristopher WalkenAmanda BynesJames MarsdenQueen LatifahBrittany SnowZac Efron,3121,6.8
622,622,Patch Adams,Uni.,202.3,135,67.3,1998,"December 25, 1998",Comedy / Drama, 1 hrs. 55 min.,PG-13,90 ,25262280,Steve Oedekerk,Robin WilliamsPhilip Seymour Hoffman,Marc Shaiman,2909,6.7
623,623,Fun with Dick and Jane,Sony,202.0,110.3,91.7,2005,"December 21, 2005",Crime Comedy, 1 hrs. 30 min.,PG-13,100 ,14383515,72 days / 10.3 weeks,Dean Parisot,Jim CarreyTea LeoniAlec Baldwin,3239,6.1
624,624,Teenage Mutant Ninja Turtles,NL,202.0,135.3,66.7,1990,"March 30, 1990",Family Adventure, 1 hrs. 33 min.,PG,13.5 ,25398367,,,,,5.9
625,625,Kindergarten Cop,Uni.,202.0,91.5,110.5,1990,"December 22, 1990",Comedy, 1 hrs. 51 min.,PG-13,15 ,7918560,Arnold SchwarzeneggerAngela Bassett*,Brian GrazerJoe Medjuck (executive)Ivan Reitman,Randy Edelman,1937,6.0
626,626,Ponyo,BV,201.8,15.1,186.7,2009,"August 14, 2009",Animation, 1 hrs. 40 min.,G,,201750937,,,,,7.7
627,627,Straight Outta Compton,Uni.,201.6,161.2,40.4,2015,"August 14, 2015",Drama, 2 hrs. 27 min.,R,28 ,201634991,,,,,8.0
628,628,21 Jump Street,Sony,201.6,138.4,63.1,2012,"March 16, 2012",Action Comedy, 1 hrs. 49 min.,R,42 ,36302612,108 days / 15.4 weeks,Phil LordChris Miller (II),Jonah HillChanning TatumBrie LarsonDave FrancoRob RiggleIce CubeEllie KemperJake Johnson*Chris Parnell*Johnny Depp* (Cameo),3148,7.2
629,629,Yogi Bear,WB,201.6,100.2,101.3,2010,"December 17, 2010",Family Comedy, 1 hrs. 22 min.,PG,80 ,16411322,112 days / 16 weeks,Joshua SterninJeffrey Ventimilia,Karen Rosenfelt,3515,4.6
630,630,Garfield: The Movie,Fox,200.8,75.4,125.4,2004,"June 11, 2004",Family Comedy, 1 hrs. 25 min.,PG,50 ,21727611,147 days / 21 weeks,Peter Hewitt,Bill Murray (Voice)Breckin MeyerJennifer Love Hewitt,3150,4.9
631,631,Cats & Dogs,WB,200.7,93.4,107.3,2001,"July 4, 2001",Family Adventure, 1 hrs. 27 min.,PG,60 ,21707617,,,,,5.2
632,632,The Hunt for Red October,Par.,200.5,122,78.5,1990,"March 2, 1990",Action Thriller, 2 hrs. 14 min.,PG,30 ,200512643,,,,,7.6
633,633,Valkyrie,UA,200.3,83.1,117.2,2008,"December 25, 2008",Thriller, 2 hrs. 0 min.,PG-13,75 ,21027007,113 days / 16.1 weeks,Bryan Singer,Tom CruiseBill NighyKenneth BranaghCarice van HoutenTom Wilkinson,2838,7.1
